9,105
522,1
9,105
10,86
15,76
16,60
260,30
330,28
199,41
139,42
16,60
64,58
371,25
400,24
344,26
371,25
11,85
219,40
199,41
13,81
228,38
239,36
81,54
98,50
71,56
115,46
105,48
88,52
219,40
228,38
122,44
81,54
98,50
115,46
64,58
71,56
88,52
440,18
429,19
512,8
501,9
330,28
401,23
255,33
13,81
14,78
132,43
122,44
489,11
429,19
458,16
420,20
480,12
449,17
411,21
420,20
449,17
248,35
239,36
440,18
256,32
260,30
336,27
344,26
515,5
518,3
517,4
139,42
480,12
473,13
466,14
494,10
473,13
501,9
132,43
514,6
336,27
14,78
15,76
489,11
461,15
406,22
466,14
406,22
411,21
250,34
494,10
105,48
458,16
461,15
105,48
522,1
520,2
520,2
250,34
248,35
513,7
513,7
256,32
512,8
